eventID;song;set,,
,,
63e1da6b;In Its Infancy (The Waterfall);0,,
,,
63e1da6b;Run Thru;0,,
,,
63e1da6b;I'm Amazed;0,,
,,
63e1da6b;Purple Rain;0,,
,,
63e1da6b;State of the Art (A.E.I.O.U.);1,,
,,
63e1da6b;Mercy Mercy Me (The Ecology);1,,
,,
63e1da6b;Like a Rolling Stone;1,,
,,
63e1da6b;Mahgeetah;1,,
,,
43e1df23;At Dawn;0,,
,,
43e1df23;Lowdown;0,,
,,
43e1df23;X-Mas Curtain;0,,
,,
43e1df23;It Beats 4 U;0,,
,,
43e1df23;Aluminum Park;0,,
,,
43e1df23;Heartbreakin Man;0,,
,,
43e1df23;Evelyn Is Not Real;0,,
,,
43e1df23;Slow Slow Tune;0,,
,,
43e1df23;Outta My System;0,,
,,
43e1df23;Carried Away;0,,
,,
43e1df23;Smokin' From Shootin';0,,
,,
43e1df23;Jim Guitar Solo;0,,
,,
43e1df23;Hopefully;0,,
,,
43e1df23;Thin Line;0,,
,,
43e1df23;Golden;0,,
,,
43e1df23;War Begun;0,,
,,
43e1df23;I Will Sing You Songs;0,,
,,
43e1df23;O Is the One That Is Real;0,,
,,
43e1df23;What a Wonderful Man;0,,
,,
43e1df23;Tonight I'll Be Staying Here With You;0,,
,,
43e1df23;Knot Comes Loose;0,,
,,
43e1df23;Dondante;0,,
,,
43e1df23;Believe (Nobody Knows);1,,
,,
43e1df23;Rebel Rebel;1,,
,,
43e1df23;Anytime;1,,
,,
5be50bd4;None;None,,
,,
23e510b3;None;None,,
,,
63e51ac7;Circuital;0,,
,,
63e51ac7;I'm Amazed;0,,
,,
63e51ac7;Lay Low;0,,
,,
63e51ac7;Mahgeetah;0,,
,,
63e51ac7;Tropics (Erase Traces);0,,
,,
63e51ac7;Gentle on My Mind;0,,
,,
63e51ac7;Golden;0,,
,,
63e51ac7;A New Life;0,,
,,
63e51ac7;Compound Fracture;0,,
,,
63e51ac7;In Its Infancy (The Waterfall);0,,
,,
63e51ac7;Evil Urges;0,,
,,
63e51ac7;War Begun;0,,
,,
63e51ac7;Spring (Among the Living);0,,
,,
63e51ac7;State of the Art (A.E.I.O.U.);0,,
,,
63e51ac7;Dondante;0,,
,,
63e51ac7;Victory Dance;0,,
,,
63e51ac7;Run Thru;0,,
,,
63e51ac7;Wordless Chorus;1,,
,,
63e51ac7;Off the Record;1,,
,,
63e51ac7;Touch Me I'm Going to Scream Pt. 2;1,,
,,
63e51ac7;One Big Holiday;1,,
,,
be449f2;None;None,,
,,
33e45495;Circuital;0,,
,,
33e45495;The Way That He Sings;0,,
,,
33e45495;A New Life;0,,
,,
33e45495;I'm Amazed;0,,
,,
33e45495;Lay Low;0,,
,,
33e45495;Mahgeetah;0,,
,,
33e45495;Golden;0,,
,,
33e45495;Tropics (Erase Traces);0,,
,,
33e45495;I Will Sing You Songs;0,,
,,
33e45495;Compound Fracture;0,,
,,
33e45495;Evil Urges;0,,
,,
33e45495;Gideon;0,,
,,
33e45495;Spring (Among the Living);0,,
,,
33e45495;Dondante;0,,
,,
33e45495;Victory Dance;0,,
,,
33e45495;Run Thru;0,,
,,
33e45495;Off the Record;0,,
,,
33e45495;Phone Went West;0,,
,,
33e45495;State of the Art (A.E.I.O.U.);1,,
,,
33e45495;Wordless Chorus;1,,
,,
33e45495;Touch Me I'm Going to Scream Pt. 2;1,,
,,
33e45495;One Big Holiday;1,,
,,
3e45da3;Victory Dance;0,,
,,
3e45da3;Compound Fracture;0,,
,,
3e45da3;What a Wonderful Man;0,,
,,
3e45da3;I'm Amazed;0,,
,,
3e45da3;Evil Urges;0,,
,,
3e45da3;Outta My System;0,,
,,
3e45da3;Picture of You;0,,
,,
3e45da3;Wonderful (The Way I Feel);0,,
,,
3e45da3;Tropics (Erase Traces);0,,
,,
3e45da3;Circuital;0,,
,,
3e45da3;Spring (Among the Living);0,,
,,
3e45da3;Off the Record;0,,
,,
3e45da3;Lay Low;0,,
,,
3e45da3;State of the Art (A.E.I.O.U.);0,,
,,
3e45da3;Anytime;0,,
,,
3e45da3;Phone Went West;0,,
,,
3e45da3;Wordless Chorus;1,,
,,
3e45da3;Touch Me I'm Going to Scream Pt. 2;1,,
,,
3e45da3;Highly Suspicious;1,,
,,
3e45da3;Mahgeetah;1,,
,,
3e45da3;Run Thru;1,,
,,
3e45da3;One Big Holiday;1,,
,,
43e46fbf;Steam Engine;0,,
,,
43e46fbf;The Way That He Sings;0,,
,,
43e46fbf;First Light;0,,
,,
43e46fbf;I'm Amazed;0,,
,,
43e46fbf;X-Mas Curtain;0,,
,,
43e46fbf;Outta My System;0,,
,,
43e46fbf;In Its Infancy (The Waterfall);0,,
,,
43e46fbf;Circuital;0,,
,,
43e46fbf;Wonderful (The Way I Feel);0,,
,,
43e46fbf;A New Life;0,,
,,
43e46fbf;Tropics (Erase Traces);0,,
,,
43e46fbf;State of the Art (A.E.I.O.U.);0,,
,,
43e46fbf;Compound Fracture;0,,
,,
43e46fbf;One Big Holiday;0,,
,,
43e46fbf;Victory Dance;1,,
,,
43e46fbf;Run Thru;1,,
,,
43e46fbf;Wordless Chorus;1,,
,,
43e46fbf;Touch Me I'm Going to Scream Pt. 2;1,,
,,
43e46fbf;Phone Went West;1,,
,,
6be47662;Golden;0,,
,,
6be47662;A New Life;0,,
,,
6be47662;Circuital;0,,
,,
6be47662;Compound Fracture;0,,
,,
6be47662;Lowdown;0,,
,,
6be47662;I'm Amazed;0,,
,,
6be47662;Mahgeetah;0,,
,,
6be47662;Slow Slow Tune;0,,
,,
6be47662;Lay Low;0,,
,,
6be47662;Spring (Among the Living);0,,
,,
6be47662;In Its Infancy (The Waterfall);0,,
,,
6be47662;Tropics (Erase Traces);0,,
,,
6be47662;Believe (Nobody Knows);0,,
,,
6be47662;Off the Record;0,,
,,
6be47662;State of the Art (A.E.I.O.U.);0,,
,,
6be47662;Dondante;0,,
,,
6be47662;Victory Dance;0,,
,,
6be47662;Wordless Chorus;1,,
,,
6be47662;Evil Urges;1,,
,,
6be47662;Touch Me I'm Going to Scream Pt. 2;1,,
,,
6be47662;One Big Holiday;1,,
,,
4be407b6;Circuital;0,,
,,
4be407b6;It Beats 4 U;0,,
,,
4be407b6;Off the Record;0,,
,,
4be407b6;Spring (Among the Living);0,,
,,
4be407b6;War Begun;0,,
,,
4be407b6;I Will Sing You Songs;0,,
,,
4be407b6;Compound Fracture;0,,
,,
4be407b6;Master Plan;0,,
,,
4be407b6;State of the Art (A.E.I.O.U.);0,,
,,
4be407b6;Wonderful (The Way I Feel);0,,
,,
4be407b6;A New Life;0,,
,,
4be407b6;Believe (Nobody Knows);0,,
,,
4be407b6;Victory Dance;0,,
,,
4be407b6;Lay Low;0,,
,,
4be407b6;Mahgeetah;0,,
,,
4be407b6;Wordless Chorus;1,,
,,
4be407b6;Touch Me I'm Going to Scream Pt. 1;1,,
,,
4be407b6;Touch Me I'm Going to Scream Pt. 2;1,,
,,
4be407b6;One Big Holiday;1,,
,,
13e40de5;Mahgeetah;0,,
,,
13e40de5;Compound Fracture;0,,
,,
13e40de5;Off the Record;0,,
,,
13e40de5;Spring (Among the Living);0,,
,,
13e40de5;I'm Amazed;0,,
,,
13e40de5;Circuital;0,,
,,
13e40de5;Golden;0,,
,,
